distribution,num_days,num_samples,ratio,num_bin,solving_time,best_threshold,training_acc,training_precision_0,training_recall_1,training_inverse_weighted_f2,logistic_183_days_10000_samples_70_acc,logistic_183_days_10000_samples_70_precision_0,logistic_183_days_10000_samples_70_recall_1,logistic_183_days_10000_samples_70_inverse_weighted_f2,logistic_365_days_10000_samples_90_acc,logistic_365_days_10000_samples_90_precision_0,logistic_365_days_10000_samples_90_recall_1,logistic_365_days_10000_samples_90_inverse_weighted_f2,logistic_183_days_10000_samples_90_acc,logistic_183_days_10000_samples_90_precision_0,logistic_183_days_10000_samples_90_recall_1,logistic_183_days_10000_samples_90_inverse_weighted_f2,logistic_365_days_10000_samples_70_acc,logistic_365_days_10000_samples_70_precision_0,logistic_365_days_10000_samples_70_recall_1,logistic_365_days_10000_samples_70_inverse_weighted_f2
logistic,60,100000,90,5,0.0010406969999996463,0.1,0.9152542372881356,0.9153,0.0,0.0832,0.8406593406593407,0.8263,0.3409,0.5297,0.9230769230769231,0.9207,0.2821,0.3994,0.9230769230769231,0.9191,0.3913,0.5134,0.7692307692307693,0.7407,0.3226,0.5644
logistic,60,100000,90,6,0.00022606100000022167,0.1,0.9830508474576272,0.9818,0.8,0.8471,0.8681318681318682,0.8519,0.4545,0.6205,0.9368131868131868,0.9339,0.4103,0.5209,0.9395604395604396,0.9353,0.5217,0.6287,0.7884615384615384,0.7571,0.379,0.6055
logistic,60,100000,90,7,0.0003308840000002533,0.1,0.9661016949152542,0.9643,0.6,0.681,0.9175824175824175,0.902,0.6591,0.7729,0.945054945054945,0.942,0.4872,0.5905,0.9505494505494505,0.9464,0.6087,0.7019,0.8241758241758241,0.7895,0.4839,0.6792
logistic,60,100000,90,8,0.00018657400000066104,0.1,0.9830508474576272,0.9818,0.8,0.8471,0.9285714285714286,0.9139,0.7045,0.8051,0.9587912087912088,0.9559,0.6154,0.7014,0.967032967032967,0.9636,0.7391,0.8067,0.8626373626373627,0.8276,0.5968,0.755
logistic,60,100000,90,9,0.00017219700000037363,0.1,0.9830508474576272,0.9818,0.8,0.8471,0.9285714285714286,0.9139,0.7045,0.8051,0.9560439560439561,0.9531,0.5897,0.6797,0.967032967032967,0.9636,0.7391,0.8067,0.8653846153846154,0.8304,0.6048,0.7603
logistic,60,100000,90,10,0.0002849929999992895,0.1,1.0,1.0,1.0,1.0,0.945054945054945,0.9324,0.7727,0.8521,0.9725274725274725,0.9701,0.7436,0.8063,0.9835164835164835,0.9815,0.8696,0.9059,0.8818681318681318,0.8481,0.6532,0.7917
logistic,60,100000,90,11,0.00020320099999970864,0.1,1.0,1.0,1.0,1.0,0.9505494505494505,0.9388,0.7955,0.8675,0.9697802197802198,0.9673,0.7179,0.7858,0.989010989010989,0.9876,0.913,0.9378,0.8928571428571429,0.8602,0.6855,0.8122
logistic,60,100000,90,12,0.0002015980000003026,0.1,1.0,1.0,1.0,1.0,0.945054945054945,0.9324,0.7727,0.8521,0.9725274725274725,0.9701,0.7436,0.8063,0.989010989010989,0.9876,0.913,0.9378,0.9038461538461539,0.8727,0.7177,0.8326
logistic,60,100000,90,13,0.000298739999999853,0.1,1.0,1.0,1.0,1.0,0.9560439560439561,0.9452,0.8182,0.8828,0.978021978021978,0.976,0.7949,0.8467,0.989010989010989,0.9876,0.913,0.9378,0.9203296703296703,0.8922,0.7661,0.8625
logistic,60,100000,90,14,0.0002641229999991168,0.1,1.0,1.0,1.0,1.0,0.9560439560439561,0.9452,0.8182,0.8828,0.978021978021978,0.976,0.7949,0.8467,0.9945054945054945,0.9938,0.9565,0.9692,0.9120879120879121,0.8824,0.7419,0.8476
