distribution,num_days,num_samples,alpha,preparing_data_time,creating_constraints_time,solving_time,total_cost,objective_0,objective_1,training_acc,training_f1,normal_365_days_10000_samples_2_acc,normal_365_days_10000_samples_2_f1,normal_365_days_100000_samples_2_acc,normal_365_days_100000_samples_2_f1,normal_120_days_10000_samples_2_acc,normal_120_days_10000_samples_2_f1,normal_365_days_10000_samples_1_acc,normal_365_days_10000_samples_1_f1,normal_120_days_100000_samples_1_acc,normal_120_days_100000_samples_1_f1,normal_120_days_10000_samples_0_acc,normal_120_days_10000_samples_0_f1,normal_120_days_100000_samples_2_acc,normal_120_days_100000_samples_2_f1,normal_365_days_100000_samples_0_acc,normal_365_days_100000_samples_0_f1,normal_365_days_10000_samples_0_acc,normal_365_days_10000_samples_0_f1,normal_365_days_100000_samples_1_acc,normal_365_days_100000_samples_1_f1,normal_120_days_100000_samples_0_acc,normal_120_days_100000_samples_0_f1,normal_120_days_10000_samples_1_acc,normal_120_days_10000_samples_1_f1,uniform_365_days_100000_samples_1_acc,uniform_365_days_100000_samples_1_f1,uniform_120_days_10000_samples_1_acc,uniform_120_days_10000_samples_1_f1,uniform_365_days_10000_samples_0_acc,uniform_365_days_10000_samples_0_f1,uniform_120_days_10000_samples_2_acc,uniform_120_days_10000_samples_2_f1,uniform_365_days_10000_samples_2_acc,uniform_365_days_10000_samples_2_f1,uniform_365_days_100000_samples_2_acc,uniform_365_days_100000_samples_2_f1,uniform_120_days_100000_samples_1_acc,uniform_120_days_100000_samples_1_f1,uniform_365_days_10000_samples_1_acc,uniform_365_days_10000_samples_1_f1,uniform_365_days_100000_samples_0_acc,uniform_365_days_100000_samples_0_f1,uniform_120_days_10000_samples_0_acc,uniform_120_days_10000_samples_0_f1,uniform_120_days_100000_samples_2_acc,uniform_120_days_100000_samples_2_f1,uniform_120_days_100000_samples_0_acc,uniform_120_days_100000_samples_0_f1,logistic_120_days_100000_samples_2_acc,logistic_120_days_100000_samples_2_f1,logistic_120_days_10000_samples_0_acc,logistic_120_days_10000_samples_0_f1,logistic_365_days_10000_samples_1_acc,logistic_365_days_10000_samples_1_f1,logistic_120_days_100000_samples_1_acc,logistic_120_days_100000_samples_1_f1,logistic_365_days_100000_samples_0_acc,logistic_365_days_100000_samples_0_f1,logistic_365_days_100000_samples_2_acc,logistic_365_days_100000_samples_2_f1,logistic_120_days_100000_samples_0_acc,logistic_120_days_100000_samples_0_f1,logistic_365_days_10000_samples_0_acc,logistic_365_days_10000_samples_0_f1,logistic_365_days_10000_samples_2_acc,logistic_365_days_10000_samples_2_f1,logistic_365_days_100000_samples_1_acc,logistic_365_days_100000_samples_1_f1,logistic_120_days_10000_samples_2_acc,logistic_120_days_10000_samples_2_f1,logistic_120_days_10000_samples_1_acc,logistic_120_days_10000_samples_1_f1
gamma,30,1000,0.0,23.067361796,4.484124949000005,552.081382792,0.0,0.0,0.0038381455721357,0.5714285714285714,0.0,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6016949152542372,0.0,0.8126721763085399,0.6091954022988505,0.864406779661017,0.5789473684210525,0.8402203856749312,0.7070707070707071,0.864406779661017,0.7037037037037037,0.8429752066115702,0.6122448979591837,0.928374655647383,0.8571428571428571,0.8220338983050848,0.5116279069767442,0.9421487603305784,0.9041095890410958,0.8484848484848485,0.6540880503144654,0.9745762711864406,0.9433962264150944,0.8389830508474576,0.6984126984126985,0.8813559322033898,0.7083333333333333,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
gamma,30,1000,0.05,23.067361796,4.484124949000005,607.081615365,0.0416548653792664,0.0112853166612323,1.0475183241487436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8044077134986226,0.584795321637427,0.8220338983050848,0.3636363636363636,0.8264462809917356,0.6735751295336787,0.8389830508474576,0.6274509803921569,0.8429752066115702,0.6122448979591837,0.8236914600550964,0.5555555555555556,0.8305084745762712,0.5454545454545454,0.8071625344352618,0.5882352941176471,0.8319559228650137,0.5960264900662252,0.8389830508474576,0.4864864864864865,0.8389830508474576,0.6984126984126985,0.8728813559322034,0.6808510638297872,0.9915254237288136,0.9866666666666666,0.9576271186440678,0.9367088607594936,0.9834710743801652,0.975206611570248,0.9830508474576272,0.9666666666666666,0.9889807162534436,0.9826086956521738,1.0,1.0,0.9915254237288136,0.9859154929577464,0.9889807162534436,0.9816513761467892,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.1,23.067361796,4.484124949000005,592.2560712080001,0.0948049754643114,0.0123345074574573,1.059060321760231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8044077134986226,0.584795321637427,0.8220338983050848,0.3636363636363636,0.8264462809917356,0.6735751295336787,0.8389830508474576,0.6274509803921569,0.8429752066115702,0.6122448979591837,0.8236914600550964,0.5555555555555556,0.8305084745762712,0.5454545454545454,0.8099173553719008,0.5964912280701754,0.8319559228650137,0.5960264900662252,0.8389830508474576,0.4864864864864865,0.8389830508474576,0.6984126984126985,0.8728813559322034,0.6808510638297872,0.9915254237288136,0.9866666666666666,0.9745762711864406,0.961038961038961,0.9862258953168044,0.979253112033195,0.9830508474576272,0.9666666666666666,0.9889807162534436,0.9826086956521738,1.0,1.0,0.9915254237288136,0.9859154929577464,0.9889807162534436,0.9816513761467892,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.15,23.067361796,4.484124949000005,578.9843579590001,0.151027222029407,0.0212542987571219,1.1272891731530714,0.9642857142857144,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8705234159779615,0.7589743589743589,0.8898305084745762,0.6829268292682926,0.8953168044077136,0.8256880733944955,0.8898305084745762,0.7719298245614035,0.8953168044077136,0.7710843373493976,0.8870523415977961,0.7544910179640718,0.864406779661017,0.6666666666666666,0.8264462809917356,0.6440677966101694,0.8870523415977961,0.7602339181286549,0.864406779661017,0.6,0.940677966101695,0.9066666666666668,0.9491525423728814,0.8928571428571428,0.9915254237288136,0.9866666666666666,0.9745762711864406,0.961038961038961,0.9862258953168044,0.9794238683127572,0.9830508474576272,0.9666666666666666,0.9889807162534436,0.9826086956521738,1.0,1.0,0.9915254237288136,0.9859154929577464,0.9862258953168044,0.9771689497716896,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.2,23.067361796,4.484124949000005,579.8473876059998,0.2085109506331042,0.0215367224561905,1.1287016429902834,0.9642857142857144,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8705234159779615,0.7589743589743589,0.8898305084745762,0.6829268292682926,0.8953168044077136,0.8256880733944955,0.8898305084745762,0.7719298245614035,0.8953168044077136,0.7710843373493976,0.8870523415977961,0.7544910179640718,0.864406779661017,0.6666666666666666,0.8292011019283747,0.6516853932584269,0.8870523415977961,0.7602339181286549,0.864406779661017,0.6,0.940677966101695,0.9066666666666668,0.9491525423728814,0.8928571428571428,1.0,1.0,0.9745762711864406,0.961038961038961,0.9889807162534436,0.9834710743801652,0.9830508474576272,0.9666666666666666,0.9917355371900828,0.9870129870129868,1.0,1.0,0.9915254237288136,0.9859154929577464,0.9862258953168044,0.9771689497716896,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.25,23.067361796,4.484124949000005,576.283128434,0.2661144855389705,0.0222893017654554,1.1313258474522483,0.9642857142857144,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8705234159779615,0.7589743589743589,0.8898305084745762,0.6829268292682926,0.8953168044077136,0.8256880733944955,0.8898305084745762,0.7719298245614035,0.8953168044077136,0.7710843373493976,0.8870523415977961,0.7544910179640718,0.864406779661017,0.6666666666666666,0.8264462809917356,0.6440677966101694,0.8870523415977961,0.7602339181286549,0.864406779661017,0.6,0.940677966101695,0.9066666666666668,0.9491525423728814,0.8928571428571428,1.0,1.0,0.9745762711864406,0.961038961038961,0.9889807162534436,0.9834710743801652,0.9830508474576272,0.9666666666666666,0.9917355371900828,0.9870129870129868,1.0,1.0,0.9915254237288136,0.9859154929577464,0.9862258953168044,0.9771689497716896,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.3,23.067361796,4.484124949000005,584.6889663829998,0.3237952429998557,0.0222893017654554,1.1313258474522483,0.9642857142857144,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8705234159779615,0.7589743589743589,0.8898305084745762,0.6829268292682926,0.8953168044077136,0.8256880733944955,0.8898305084745762,0.7719298245614035,0.8953168044077136,0.7710843373493976,0.8870523415977961,0.7544910179640718,0.864406779661017,0.6666666666666666,0.8264462809917356,0.6440677966101694,0.8870523415977961,0.7602339181286549,0.864406779661017,0.6,0.940677966101695,0.9066666666666668,0.9491525423728814,0.8928571428571428,1.0,1.0,0.9745762711864406,0.961038961038961,0.9889807162534436,0.9834710743801652,0.9830508474576272,0.9666666666666666,0.9917355371900828,0.9870129870129868,1.0,1.0,0.9915254237288136,0.9859154929577464,0.9862258953168044,0.9771689497716896,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.35,23.067361796,4.484124949000005,597.9994096740002,0.3815220408474735,0.0224139753760571,1.1316889281197446,0.9642857142857144,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8705234159779615,0.7589743589743589,0.8898305084745762,0.6829268292682926,0.8953168044077136,0.8256880733944955,0.8898305084745762,0.7719298245614035,0.8953168044077136,0.7710843373493976,0.8870523415977961,0.7544910179640718,0.864406779661017,0.6666666666666666,0.8264462809917356,0.6440677966101694,0.8870523415977961,0.7602339181286549,0.864406779661017,0.6,0.940677966101695,0.9066666666666668,0.9491525423728814,0.8928571428571428,1.0,1.0,0.9745762711864406,0.961038961038961,0.9889807162534436,0.9833333333333334,0.9830508474576272,0.9666666666666666,0.9889807162534436,0.9826086956521738,0.9972451790633609,0.9949748743718592,0.9830508474576272,0.9714285714285714,0.9834710743801652,0.9724770642201837,0.9917355371900828,0.9859154929577464,1.0,1.0,0.9915254237288136,0.9859154929577464,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.4,23.067361796,4.484124949000005,580.9060923030002,0.4398386679609748,0.0285482884197654,1.1424191025320851,0.9642857142857144,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8705234159779615,0.7589743589743589,0.8898305084745762,0.6829268292682926,0.8953168044077136,0.8256880733944955,0.8898305084745762,0.7719298245614035,0.8953168044077136,0.7710843373493976,0.8870523415977961,0.7544910179640718,0.864406779661017,0.6666666666666666,0.8264462809917356,0.6440677966101694,0.8870523415977961,0.7602339181286549,0.864406779661017,0.6,0.940677966101695,0.9066666666666668,0.9491525423728814,0.8928571428571428,0.9915254237288136,0.9866666666666666,0.9661016949152542,0.9487179487179488,0.9889807162534436,0.9834710743801652,0.9830508474576272,0.9666666666666666,0.9917355371900828,0.9870129870129868,0.9972451790633609,0.9950248756218906,0.9915254237288136,0.9859154929577464,0.9862258953168044,0.9771689497716896,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
gamma,30,1000,0.45,23.067361796,4.484124949000005,599.7372538499994,0.4983870375085675,0.0285482884197654,1.1424191025320851,0.9642857142857144,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.9855072463768116,1.0,1.0,0.8705234159779615,0.7589743589743589,0.8898305084745762,0.6829268292682926,0.8953168044077136,0.8256880733944955,0.8898305084745762,0.7719298245614035,0.8953168044077136,0.7710843373493976,0.8870523415977961,0.7544910179640718,0.864406779661017,0.6666666666666666,0.8264462809917356,0.6440677966101694,0.8870523415977961,0.7602339181286549,0.864406779661017,0.6,0.940677966101695,0.9066666666666668,0.9491525423728814,0.8928571428571428,0.9915254237288136,0.9866666666666666,0.9661016949152542,0.9487179487179488,0.9889807162534436,0.9834710743801652,0.9830508474576272,0.9666666666666666,0.9917355371900828,0.9870129870129868,0.9972451790633609,0.9950248756218906,0.9915254237288136,0.9859154929577464,0.9862258953168044,0.9771689497716896,0.9917355371900828,0.9859154929577464,1.0,1.0,1.0,1.0,0.9830508474576272,0.9743589743589745
