distribution,num_days,num_samples,alpha,preparing_data_time,creating_constraints_time,solving_time,total_cost,objective_0,objective_1,training_acc,training_f1,normal_365_days_10000_samples_2_acc,normal_365_days_10000_samples_2_f1,normal_365_days_100000_samples_2_acc,normal_365_days_100000_samples_2_f1,normal_120_days_10000_samples_2_acc,normal_120_days_10000_samples_2_f1,normal_365_days_10000_samples_1_acc,normal_365_days_10000_samples_1_f1,normal_120_days_100000_samples_1_acc,normal_120_days_100000_samples_1_f1,normal_120_days_10000_samples_0_acc,normal_120_days_10000_samples_0_f1,normal_120_days_100000_samples_2_acc,normal_120_days_100000_samples_2_f1,normal_365_days_100000_samples_0_acc,normal_365_days_100000_samples_0_f1,normal_365_days_10000_samples_0_acc,normal_365_days_10000_samples_0_f1,normal_365_days_100000_samples_1_acc,normal_365_days_100000_samples_1_f1,normal_120_days_100000_samples_0_acc,normal_120_days_100000_samples_0_f1,normal_120_days_10000_samples_1_acc,normal_120_days_10000_samples_1_f1,uniform_365_days_100000_samples_1_acc,uniform_365_days_100000_samples_1_f1,uniform_120_days_10000_samples_1_acc,uniform_120_days_10000_samples_1_f1,uniform_365_days_10000_samples_0_acc,uniform_365_days_10000_samples_0_f1,uniform_120_days_10000_samples_2_acc,uniform_120_days_10000_samples_2_f1,uniform_365_days_10000_samples_2_acc,uniform_365_days_10000_samples_2_f1,uniform_365_days_100000_samples_2_acc,uniform_365_days_100000_samples_2_f1,uniform_120_days_100000_samples_1_acc,uniform_120_days_100000_samples_1_f1,uniform_365_days_10000_samples_1_acc,uniform_365_days_10000_samples_1_f1,uniform_365_days_100000_samples_0_acc,uniform_365_days_100000_samples_0_f1,uniform_120_days_10000_samples_0_acc,uniform_120_days_10000_samples_0_f1,uniform_120_days_100000_samples_2_acc,uniform_120_days_100000_samples_2_f1,uniform_120_days_100000_samples_0_acc,uniform_120_days_100000_samples_0_f1,logistic_120_days_100000_samples_2_acc,logistic_120_days_100000_samples_2_f1,logistic_120_days_10000_samples_0_acc,logistic_120_days_10000_samples_0_f1,logistic_365_days_10000_samples_1_acc,logistic_365_days_10000_samples_1_f1,logistic_120_days_100000_samples_1_acc,logistic_120_days_100000_samples_1_f1,logistic_365_days_100000_samples_0_acc,logistic_365_days_100000_samples_0_f1,logistic_365_days_100000_samples_2_acc,logistic_365_days_100000_samples_2_f1,logistic_120_days_100000_samples_0_acc,logistic_120_days_100000_samples_0_f1,logistic_365_days_10000_samples_0_acc,logistic_365_days_10000_samples_0_f1,logistic_365_days_10000_samples_2_acc,logistic_365_days_10000_samples_2_f1,logistic_365_days_100000_samples_1_acc,logistic_365_days_100000_samples_1_f1,logistic_120_days_10000_samples_2_acc,logistic_120_days_10000_samples_2_f1,logistic_120_days_10000_samples_1_acc,logistic_120_days_10000_samples_1_f1
uniform,30,1000,0.0,23.603369372,4.629147020999994,582.956104554,0.0,0.0,0.0063072727979781,0.7857142857142857,0.0,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6016949152542372,0.0,0.6666666666666666,0.0,0.7711864406779662,0.0,0.6473829201101928,0.0,0.7033898305084746,0.0,0.71900826446281,0.0,0.7134986225895317,0.0,0.7288135593220338,0.0,0.6694214876033058,0.0,0.7079889807162535,0.0,0.7627118644067796,0.0,0.652542372881356,0.0,0.7372881355932204,0.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.05,23.603369372,4.629147020999994,584.594607145,0.0298124939152142,0.0106706709640375,0.7989926266209996,1.0,1.0,1.0,1.0,0.9641873278236914,0.9281767955801106,0.9915254237288136,0.984126984126984,0.9724517906336088,0.9583333333333334,0.9745762711864406,0.9508196721311476,0.9576271186440678,0.9411764705882352,0.9576271186440678,0.9206349206349206,0.9862258953168044,0.972972972972973,0.9807162534435262,0.9655172413793104,0.953168044077135,0.914572864321608,0.9915254237288136,0.9850746268656716,0.9745762711864406,0.967032967032967,0.9917355371900828,0.98744769874477,1.0,1.0,0.9889807162534436,0.984126984126984,1.0,1.0,0.9944903581267218,0.99009900990099,0.9944903581267218,0.9902912621359222,0.9915254237288136,0.984126984126984,0.9917355371900828,0.9873417721518988,0.9862258953168044,0.9760765550239234,1.0,1.0,1.0,1.0,1.0,1.0,0.9576271186440678,0.927536231884058,0.9322033898305084,0.8787878787878788,0.953168044077135,0.9244444444444444,0.9661016949152542,0.925925925925926,0.9366391184573004,0.888888888888889,0.931129476584022,0.8571428571428571,0.9067796610169492,0.819672131147541,0.9366391184573004,0.8808290155440415,0.9173553719008264,0.8351648351648352,0.931129476584022,0.8768472906403941,0.940677966101695,0.8923076923076924,0.8983050847457628,0.8181818181818182
uniform,30,1000,0.1,23.603369372,4.629147020999994,602.713082644,0.0725261091274288,0.0164644099494052,0.8734407808189351,1.0,1.0,0.8099173553719008,0.4390243902439024,0.7961432506887053,0.3833333333333333,0.7711864406779662,0.2702702702702703,0.7382920110192838,0.3870967741935484,0.7711864406779662,0.2702702702702703,0.6949152542372882,0.3333333333333333,0.8050847457627118,0.4888888888888889,0.8016528925619835,0.3898305084745762,0.7713498622589532,0.3464566929133859,0.743801652892562,0.2439024390243902,0.788135593220339,0.4186046511627907,0.6864406779661016,0.3508771929824561,0.9944903581267218,0.9916666666666668,1.0,1.0,0.9917355371900828,0.9881422924901184,1.0,1.0,0.9972451790633609,0.9950738916256158,0.9944903581267218,0.9902912621359222,1.0,1.0,0.9917355371900828,0.9873417721518988,0.9862258953168044,0.9760765550239234,1.0,1.0,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6949152542372882,0.0526315789473684,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6887052341597796,0.017391304347826,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.15,23.603369372,4.629147020999994,636.4350101619998,0.1180577577429679,0.0197751338684522,0.8991108102076821,1.0,1.0,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6101694915254238,0.0416666666666666,0.9917355371900828,0.98744769874477,1.0,1.0,0.9917355371900828,0.9881422924901184,1.0,1.0,0.9972451790633609,0.9950738916256158,0.9862258953168044,0.9753694581280788,1.0,1.0,0.9834710743801652,0.9743589743589745,0.9862258953168044,0.9760765550239234,1.0,1.0,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.2,23.603369372,4.629147020999994,655.8833498100003,0.167527601923276,0.0330635626188726,0.9698922600918704,0.9285714285714286,0.8571428571428571,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6101694915254238,0.0416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9944903581267218,0.9903846153846154,1.0,1.0,0.9862258953168044,0.9787234042553192,0.9972451790633609,0.9953051643192488,0.9915254237288136,0.9818181818181818,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.25,23.603369372,4.629147020999994,644.9322238069999,0.218080760476085,0.0351917354304919,0.977898248195816,0.8928571428571429,0.8,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6101694915254238,0.0416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889807162534436,0.9805825242718448,1.0,1.0,0.9862258953168044,0.9787234042553192,0.9972451790633609,0.9953051643192488,0.9915254237288136,0.9818181818181818,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.3,23.603369372,4.629147020999994,647.3564041540003,0.2687352596574005,0.0351917354304919,0.977898248195816,0.8928571428571429,0.8,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6101694915254238,0.0416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889807162534436,0.9805825242718448,1.0,1.0,0.9862258953168044,0.9787234042553192,0.9972451790633609,0.9953051643192488,0.9915254237288136,0.9818181818181818,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.35,23.603369372,4.629147020999994,645.1825771939994,0.319505608037174,0.0399520333799596,0.987069799240422,0.8928571428571429,0.8,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6101694915254238,0.0416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889807162534436,0.9805825242718448,1.0,1.0,0.9834710743801652,0.9743589743589745,0.9972451790633609,0.9953051643192488,0.9915254237288136,0.9818181818181818,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.4,23.603369372,4.629147020999994,639.2691378879999,0.3708566996681931,0.0399520333799596,0.987069799240422,0.8928571428571429,0.8,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6101694915254238,0.0416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889807162534436,0.9805825242718448,1.0,1.0,0.9834710743801652,0.9743589743589745,0.9972451790633609,0.9953051643192488,0.9915254237288136,0.9818181818181818,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
uniform,30,1000,0.45,23.603369372,4.629147020999994,640.9600197780001,0.4222077912992122,0.0399520333799596,0.987069799240422,0.8928571428571429,0.8,0.7355371900826446,0.0,0.7327823691460055,0.0,0.7288135593220338,0.0,0.6556473829201102,0.0,0.7288135593220338,0.0,0.6186440677966102,0.0,0.711864406779661,0.0,0.7382920110192838,0.0,0.7107438016528925,0.0,0.7024793388429752,0.0,0.711864406779661,0.0,0.6101694915254238,0.0416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889807162534436,0.9805825242718448,1.0,1.0,0.9834710743801652,0.9743589743589745,0.9972451790633609,0.9953051643192488,0.9915254237288136,0.9818181818181818,1.0,1.0,1.0,1.0,0.6864406779661016,0.0,0.6864406779661016,0.0,0.6721763085399449,0.0,0.7542372881355932,0.0,0.6859504132231405,0.0,0.7245179063360881,0.0,0.6949152542372882,0.0,0.7052341597796143,0.0,0.7107438016528925,0.0,0.6859504132231405,0.0,0.6949152542372882,0.0,0.6779661016949152,0.0
